,id,grid,start_hour,end_hour,duration,lon,lat,gps2id
236298,C93386A9D86FE22A1FD4E5116045DD8D,31561,0,5,5,109.56792,18.28479,1765
236299,C93386A9D86FE22A1FD4E5116045DD8D,39183,6,10,4,109.55542,18.28208,1715
236300,C93386A9D86FE22A1FD4E5116045DD8D,31561,11,19,8,109.56792,18.28479,1765
236301,C93386A9D86FE22A1FD4E5116045DD8D,30854,19,20,1,109.56889,18.27076,1763
236360,6587551DA47309E484D1302521C8D417,38275,10,15,5,109.62875,18.22938,2006
236361,6587551DA47309E484D1302521C8D417,38054,19,21,2,109.63479,18.23097,2006
236376,299B7BC2E95F0240F64F76032ECBC4BA,39191,0,7,7,109.51493,18.23472,1557
236377,299B7BC2E95F0240F64F76032ECBC4BA,60281,8,9,1,109.51743,18.25924,1561
236378,299B7BC2E95F0240F64F76032ECBC4BA,30181,10,13,3,109.51597,18.23313,1557
236379,299B7BC2E95F0240F64F76032ECBC4BA,30711,15,16,1,109.50271,18.25347,1510
236383,FA1A0E0BAAE42E33A894437D15AB1110,60631,2,7,5,109.57778,18.27583,1814
236384,FA1A0E0BAAE42E33A894437D15AB1110,31071,9,11,2,109.58257,18.28458,1815
236385,FA1A0E0BAAE42E33A894437D15AB1110,60631,13,15,2,109.57778,18.27583,1814
236386,FA1A0E0BAAE42E33A894437D15AB1110,39091,16,17,1,109.50097,18.25222,1510
236387,FA1A0E0BAAE42E33A894437D15AB1110,30854,19,20,1,109.56889,18.27076,1763
236388,FA1A0E0BAAE42E33A894437D15AB1110,60631,22,23,1,109.57778,18.27583,1814
236391,DA10676C4DA702E02A2C3FFFAC40ABA2,31561,0,4,4,109.56792,18.28479,1765
236392,DA10676C4DA702E02A2C3FFFAC40ABA2,39183,8,10,2,109.55542,18.28208,1715
236393,DA10676C4DA702E02A2C3FFFAC40ABA2,31561,10,18,8,109.56792,18.28479,1765
236398,17D6DB95A76434E18528B9C94350AA97,31531,0,8,8,109.49583,18.25972,1461
236399,17D6DB95A76434E18528B9C94350AA97,31471,11,15,4,109.34583,18.29563,917
236400,17D6DB95A76434E18528B9C94350AA97,31531,20,23,3,109.49583,18.25972,1461
236406,3977578BE56276DA0700B04B81DC1356,30851,1,6,5,109.5616,18.27396,1713
236407,3977578BE56276DA0700B04B81DC1356,31561,7,8,1,109.56792,18.28479,1765
236408,3977578BE56276DA0700B04B81DC1356,31071,11,14,3,109.58257,18.28458,1815
236409,3977578BE56276DA0700B04B81DC1356,31561,14,17,3,109.56792,18.28479,1765
236410,3977578BE56276DA0700B04B81DC1356,30851,19,20,1,109.5616,18.27396,1713
236411,3977578BE56276DA0700B04B81DC1356,31561,21,22,1,109.56792,18.28479,1765
236416,5205655EC583F6392BC68C8BB9865108,30854,14,20,6,109.56889,18.27076,1763
236417,5205655EC583F6392BC68C8BB9865108,31171,22,23,1,109.50938,18.24917,1559
236467,B7E330D15F4B46614A332696B5F7027D,31561,0,4,4,109.56792,18.28479,1765
236468,B7E330D15F4B46614A332696B5F7027D,31931,7,23,16,109.54771,18.29403,1667
236499,F2DDFA8B80CE24F358EB38920C9A6AA9,31571,15,16,1,109.61563,18.23326,1957
236500,F2DDFA8B80CE24F358EB38920C9A6AA9,38017,19,20,1,109.49729,18.21424,1504
236501,F2DDFA8B80CE24F358EB38920C9A6AA9,30441,21,22,1,109.64021,18.25424,2010
236527,9272327B359F9A8CB4E9C533C10E8BE6,30681,0,18,18,109.48493,18.26917,1463
236528,9272327B359F9A8CB4E9C533C10E8BE6,60401,19,21,2,109.47444,18.27583,1414
236562,90E761563218966BF6DD1FD6E24DA0E3,60321,0,9,9,109.63611,18.24306,2008
236563,90E761563218966BF6DD1FD6E24DA0E3,31571,10,12,2,109.61563,18.23326,1957
236564,90E761563218966BF6DD1FD6E24DA0E3,31101,15,17,2,109.65389,18.23403,2057
236567,7C085508C36749F188C75B401CBDAD91,31521,0,8,8,109.51458,18.22542,1555
236569,7C085508C36749F188C75B401CBDAD91,31471,13,15,2,109.34583,18.29563,917
236570,7C085508C36749F188C75B401CBDAD91,60221,18,21,3,109.52569,18.29188,1616
236573,5F8A4BDCC5D1941BEB6DBBEA7E0B606A,38826,4,7,3,109.50326,18.25514,1510
236574,5F8A4BDCC5D1941BEB6DBBEA7E0B606A,30911,9,11,2,109.50493,18.26181,1511
236575,5F8A4BDCC5D1941BEB6DBBEA7E0B606A,60214,13,14,1,109.63104,18.24493,2009
236576,5F8A4BDCC5D1941BEB6DBBEA7E0B606A,31031,19,21,2,109.49979,18.25382,1510
236577,5F8A4BDCC5D1941BEB6DBBEA7E0B606A,60214,22,23,1,109.63104,18.24493,2009
236587,C709D01469E0800AF998DFAF42105CDC,30854,1,5,4,109.56889,18.27076,1763
236588,C709D01469E0800AF998DFAF42105CDC,31561,6,18,12,109.56792,18.28479,1765
236589,C709D01469E0800AF998DFAF42105CDC,30854,19,23,4,109.56889,18.27076,1763
236590,6917A8E1AE4CE33049FC189B3388DF85,60261,0,6,6,109.44326,18.3075,1319
236591,6917A8E1AE4CE33049FC189B3388DF85,60201,8,10,2,109.5041,18.2509,1510
236592,6917A8E1AE4CE33049FC189B3388DF85,60171,11,13,2,109.51292,18.30694,1569
236593,6917A8E1AE4CE33049FC189B3388DF85,31461,14,16,2,109.5091,18.25389,1510
236594,6917A8E1AE4CE33049FC189B3388DF85,38127,19,20,1,109.50833,18.27222,1513
236595,6917A8E1AE4CE33049FC189B3388DF85,60261,21,23,2,109.44326,18.3075,1319
